id,handle,followers_count,friends_count,isProxy
"0,""friiyo"",21901,1198,0"
"1,""Campus_FM"",716,193,0"
"2,""FabioDeMasi"",77157,1806,0"
"3,""RadioQ"",1438,236,0"
"4,""TiloJung"",241953,1715,0"
"5,""davidfenech"",840,1883,0"
"6,""TiloHensel"",1990,1516,0"
"7,""SWRAktuellBW"",85869,817,0"
"8,""hochschulradio"",1340,230,0"
"9,""Koelncampus"",3335,530,0"
"10,""CTdasradio"",1369,696,0"
"11,""poryahatami"",1392,410,0"
"12,""SANKTOTTEN"",74,16,0"
"13,""memplexx"",1790,4798,0"
"14,""GretaKstnr"",24,119,0"
"15,""dlfnova"",98445,2066,0"
"16,""eichsteller"",2852,2515,0"
"17,""Uni_Stuttgart"",12159,1324,0"
"18,""datenreiserecht"",2477,2265,0"
"19,""eldoradiode"",1614,547,0"
"20,""campusradio_tr"",603,204,0"
"21,""hora_ac"",1063,261,0"
"22,""DSW_Tweet"",2491,3463,0"
"23,""GiulioAldinucci"",523,469,0"
"24,""stuttgart_stadt"",38306,223,0"
"25,""UniHohenheim"",4401,358,0"
"26,""CampusradioDD"",1293,210,0"
"27,""hdm_stgt"",4254,52,0"
"28,""Trinity2605"",50,185,0"
"29,""john316john316"",1360,780,0"
"30,""hochschuleaalen"",1527,230,0"
"31,""RegierungBW"",94734,1295,0"
"32,""stuggitv"",3741,696,0"
"33,""Campusradiokiel"",381,222,0"
"34,""StZ_Stadtkind"",4126,169,0"
"35,""laurawhns"",5,30,0"
"36,""sandhu_hdm"",562,13,0"
"37,""RamonMebrahtu"",40,1001,0"
"38,""WebRobin"",187,1168,0"
"39,""samullr"",29,131,0"
"40,""UweEisenbeis"",112,329,0"
"41,""SchmittJunior"",54531,572,0"
"42,""maithi_nk"",453887,1088,0"
"43,""medienpiepen"",336,64,0"
"44,""roman_klinger"",1284,215,0"
"45,""DigitaleEthik"",1796,277,0"
"46,""SWStuttgart"",560,208,0"
"47,""pablojgarmon"",2927,3647,0"
"48,""redaktion_hdm"",30,9,0"
"49,""CanuEc"",12,377,0"
"50,""theericrandom"",987,482,0"
"51,""Helene_Reiner"",756,914,0"
"52,""spacegeodesy"",1216,335,0"
"53,""pr_parcours"",448,5,0"
"54,""timreaa"",13,46,0"
"55,""MediapubHdM"",152,253,0"
"56,""TPiechottka"",9,81,0"
"57,""KrollWibke"",103,111,0"
"58,""ValentinaKress"",144,149,0"
"59,""IsabelleJentner"",72,201,0"
"60,""LuisBracht"",168,574,0"
"61,""JannikaQuaas"",120,339,0"
"62,""ndjknrd"",7,50,0"
"63,""CampusradioO"",30,43,0"
"64,""hannah_jel"",14,89,0"
"65,""eva_schauer"",114,147,0"
"66,""SandraB07883440"",17,17,0"
"67,""CONMEDIA_2019"",16,11,0"
"68,""alinaoranginaa"",10,161,0"
"69,""LeahStriegel"",20,34,0"
"70,""hoffmann_loris"",51,470,0"
"71,""Verena39640553"",33,100,0"
"72,""JasminMaya3"",28,79,0"
"73,""BrigitteBuck19"",29,60,0"
"74,""lindner_julia"",36,140,0"
"75,""MueRicci"",25,49,0"
"76,""toniii_aj"",69,705,0"
"77,""lucagroening"",18,39,0"
"78,""PatrickSteinle"",25,50,0"
"79,""Nils_hgm"",946,1569,0"
"80,""juliakkn"",2,15,0"
"81,""lisphm"",7,50,0"
"82,""herzhaftpodcast"",6,48,0"
"83,""herzhaftsarah"",3,19,0"
"84,""Pixels_Gametalk"",30,86,0"
"85,""KreativregionS"",124,103,0"
"86,""ZeM_eV"",65,98,0"
"87,""radihum20"",670,294,0"
"88,""AmreiBahr"",9135,1144,0"
"89,""fernsehpodcast"",3297,29,0"
"90,""CahillCostello"",237,709,0"
"91,""de_campuscharts"",51,194,0"
"92,""f_eckenfelder"",7,32,0"
"93,""crnstgrm"",1,50,0"
"94,""MethodenK"",679,961,0"
"95,""M0rpinator"",104,700,0"
"96,""HdM_Conmedia"",35,73,0"
"97,""HdM_goes_ITFS"",41,59,0"
"98,""katja_sta"",22,84,0"
"99,""DrKEichhorn"",4788,1105,0"
"100,""unboundedam"",76,59,0"
"101,""niklasweissHDM"",11,17,0"
"102,""mecustut"",138,286,0"
"103,""hdm_praktisch"",222,28,0"
"104,""CatchWaveLtd"",1319,1093,0"
"105,""LonginPaula"",58,98,0"
"106,""breiteli"",40,70,0"
"107,""PR_in_Stuttgart"",118,32,0"
"108,""anneke_wo"",36,620,0"
"109,""nadja_maur"",16,39,0"
"110,""el_merkle"",23,26,0"
"111,""katalovesthesun"",24,111,0"
"112,""HfnrVanessa"",15,52,0"
"113,""VonSacken"",96,250,0"
"114,""edit_magazin"",375,212,0"
"115,""hdm_crpr"",212,55,0"
"116,""HHU_ZIM"",519,217,0"
"117,""Moritz_Osswald"",143,456,0"
